xflr5 v6.48
EPPLER 387
T1_Re0.129_M0.04_N9.0
Alpha =  10.0,  Re =   129045,  Ma = 0.0440,  ACrit = 9.0 
   x        Cpi      Cpv        Qi        Qv
 1.0000    0.261    -0.022     0.860     1.011
 0.9968    0.216    -0.023     0.886     1.012
 0.9873    0.162    -0.026     0.916     1.013
 0.9720    0.090    -0.030     0.954     1.015
 0.9513    0.022    -0.038     0.989     1.019
 0.9255   -0.035    -0.048     1.017     1.024
 0.8951   -0.091    -0.064     1.044     1.031
 0.8603   -0.148    -0.085     1.071     1.042
 0.8218   -0.212    -0.115     1.101     1.056
 0.7801   -0.283    -0.154     1.133     1.074
 0.7357   -0.363    -0.205     1.167     1.098
 0.6892   -0.453    -0.270     1.205     1.127
 0.6414   -0.554    -0.350     1.247     1.162
 0.5927   -0.677    -0.447     1.294     1.203
 0.5439   -0.815    -0.562     1.347     1.249
 0.4955   -0.959    -0.687     1.399     1.298
 0.4477   -1.099    -0.815     1.448     1.347
 0.4008   -1.233    -0.940     1.494     1.392
 0.3550   -1.358    -1.056     1.535     1.433
 0.3108   -1.469    -1.161     1.571     1.469
 0.2681   -1.560    -1.250     1.599     1.499
 0.2274   -1.665    -1.342     1.632     1.530
 0.1891   -1.787    -1.442     1.668     1.562
 0.1535   -1.935    -1.556     1.712     1.598
 0.1209   -2.115    -1.689     1.764     1.639
 0.0919   -2.338    -1.863     1.826     1.691
 0.0664   -2.626    -2.149     1.903     1.773
 0.0449   -3.006    -2.727     2.000     1.929
 0.0275   -3.528    -3.745     2.126     2.176
 0.0142   -4.329    -3.848     2.306     2.199
 0.0052   -5.239    -4.003     2.494     2.234
 0.0004  -10.131    -4.426     3.327     2.327
 0.0009   -6.481    -2.321     2.730     1.821
 0.0072    0.521     0.888     0.692     0.335
 0.0189    0.972     0.994     0.167    -0.082
 0.0360    0.974     0.885    -0.162    -0.340
 0.0583    0.882     0.769    -0.344    -0.481
 0.0857    0.788     0.670    -0.461    -0.575
 0.1180    0.708     0.595    -0.541    -0.637
 0.1549    0.642     0.533    -0.599    -0.683
 0.1960    0.589     0.485    -0.642    -0.718
 0.2408    0.545     0.446    -0.675    -0.745
 0.2889    0.508     0.413    -0.701    -0.766
 0.3397    0.477     0.385    -0.723    -0.785
 0.3925    0.451     0.360    -0.741    -0.800
 0.4468    0.427     0.337    -0.757    -0.814
 0.5018    0.407     0.317    -0.770    -0.827
 0.5569    0.388     0.297    -0.782    -0.838
 0.6115    0.372     0.279    -0.793    -0.849
 0.6647    0.356     0.260    -0.802    -0.860
 0.7160    0.342     0.242    -0.811    -0.871
 0.7648    0.328     0.223    -0.820    -0.882
 0.8103    0.316     0.203    -0.827    -0.893
 0.8520    0.304     0.182    -0.834    -0.904
 0.8894    0.292     0.159    -0.841    -0.917
 0.9221    0.282     0.132    -0.848    -0.932
 0.9494    0.270     0.101    -0.854    -0.948
 0.9712    0.266     0.068    -0.857    -0.966
 0.9870    0.270     0.030    -0.855    -0.985
 0.9967    0.272    -0.018    -0.853    -1.009
 1.0000    0.261    -0.022    -0.860    -1.011


