xflr5 v6.48
 Calculated polar for: EPPLER 387
 1 1 Reynolds number fixed          Mach number fixed         
 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.044     Re =     0.129 e 6     Ncrit =   9.000

  alpha     CL        CD       CDp       Cm    TopXtr BotXtr   Cpmin    Chinge    XCp    
  -9.980  -0.3581   0.11969   0.11510  -0.0176  1.0000  0.0487  -1.1802   0.0000   0.1949
  -9.960  -0.3576   0.11945   0.11486  -0.0177  1.0000  0.0488  -1.1805   0.0000   0.1945
  -9.940  -0.3572   0.11921   0.11463  -0.0179  1.0000  0.0489  -1.1808   0.0000   0.1941
  -9.920  -0.3567   0.11898   0.11439  -0.0180  1.0000  0.0491  -1.1812   0.0000   0.1937
  -9.900  -0.3562   0.11874   0.11416  -0.0181  1.0000  0.0492  -1.1816   0.0000   0.1933
  -9.880  -0.3558   0.11850   0.11392  -0.0182  1.0000  0.0493  -1.1820   0.0000   0.1930
  -9.860  -0.3553   0.11827   0.11369  -0.0183  1.0000  0.0494  -1.1824   0.0000   0.1926
  -9.840  -0.3548   0.11803   0.11346  -0.0184  1.0000  0.0495  -1.1829   0.0000   0.1922
  -9.820  -0.3544   0.11780   0.11322  -0.0186  1.0000  0.0497  -1.1834   0.0000   0.1918
  -9.800  -0.3539   0.11756   0.11299  -0.0187  1.0000  0.0498  -1.1839   0.0000   0.1914
  -9.780  -0.3535   0.11733   0.11276  -0.0188  1.0000  0.0499  -1.1844   0.0000   0.1910
  -9.760  -0.3530   0.11709   0.11253  -0.0189  1.0000  0.0500  -1.1850   0.0000   0.1906
  -9.740  -0.3526   0.11686   0.11230  -0.0190  1.0000  0.0502  -1.1856   0.0000   0.1902
  -9.720  -0.3521   0.11663   0.11207  -0.0192  1.0000  0.0503  -1.1863   0.0000   0.1898
  -9.700  -0.3517   0.11640   0.11184  -0.0193  1.0000  0.0504  -1.1870   0.0000   0.1894
  -9.680  -0.3513   0.11617   0.11161  -0.0194  1.0000  0.0506  -1.1877   0.0000   0.1889
  -9.660  -0.3508   0.11594   0.11138  -0.0195  1.0000  0.0507  -1.1884   0.0000   0.1885
  -9.640  -0.3504   0.11571   0.11116  -0.0197  1.0000  0.0508  -1.1893   0.0000   0.1881
  -9.620  -0.3500   0.11548   0.11093  -0.0198  1.0000  0.0509  -1.1901   0.0000   0.1877
  -9.600  -0.3495   0.11526   0.11071  -0.0199  1.0000  0.0511  -1.1910   0.0000   0.1872
  -9.580  -0.3491   0.11503   0.11049  -0.0201  1.0000  0.0512  -1.1919   0.0000   0.1868
  -9.560  -0.3487   0.11481   0.11027  -0.0202  1.0000  0.0513  -1.1929   0.0000   0.1864
  -9.540  -0.3483   0.11458   0.11004  -0.0203  1.0000  0.0515  -1.1939   0.0000   0.1859
  -9.520  -0.3479   0.11436   0.10983  -0.0205  1.0000  0.0516  -1.1950   0.0000   0.1855
  -9.500  -0.3475   0.11414   0.10961  -0.0206  1.0000  0.0517  -1.1961   0.0000   0.1850
  -9.480  -0.3470   0.11392   0.10939  -0.0208  1.0000  0.0519  -1.1973   0.0000   0.1845
  -9.460  -0.3466   0.11371   0.10918  -0.0209  1.0000  0.0520  -1.1985   0.0000   0.1841
  -9.440  -0.3463   0.11349   0.10897  -0.0210  1.0000  0.0521  -1.1998   0.0000   0.1836
  -9.420  -0.3459   0.11328   0.10876  -0.0212  1.0000  0.0523  -1.2012   0.0000   0.1831
  -9.400  -0.3455   0.11307   0.10855  -0.0213  1.0000  0.0524  -1.2026   0.0000   0.1826
  -9.380  -0.3451   0.11286   0.10835  -0.0215  1.0000  0.0525  -1.2042   0.0000   0.1821
  -9.360  -0.3447   0.11266   0.10814  -0.0216  1.0000  0.0527  -1.2057   0.0000   0.1816
  -9.340  -0.3444   0.11245   0.10794  -0.0218  1.0000  0.0528  -1.2074   0.0000   0.1811
  -9.320  -0.3440   0.11225   0.10775  -0.0220  1.0000  0.0529  -1.2091   0.0000   0.1806
  -9.300  -0.3437   0.11206   0.10755  -0.0221  1.0000  0.0531  -1.2109   0.0000   0.1801
  -9.280  -0.3433   0.11186   0.10736  -0.0223  1.0000  0.0532  -1.2128   0.0000   0.1796
  -9.260  -0.3430   0.11167   0.10718  -0.0224  1.0000  0.0533  -1.2149   0.0000   0.1790
  -9.240  -0.3427   0.11149   0.10699  -0.0226  1.0000  0.0535  -1.2170   0.0000   0.1785
  -9.220  -0.3424   0.11131   0.10682  -0.0228  1.0000  0.0536  -1.2192   0.0000   0.1779
  -9.200  -0.3421   0.11113   0.10664  -0.0230  1.0000  0.0537  -1.2215   0.0000   0.1773
  -9.180  -0.3418   0.11096   0.10647  -0.0232  1.0000  0.0539  -1.2239   0.0000   0.1768
  -9.160  -0.3416   0.11079   0.10631  -0.0233  1.0000  0.0540  -1.2264   0.0000   0.1762
  -9.140  -0.3413   0.11063   0.10615  -0.0235  1.0000  0.0541  -1.2291   0.0000   0.1756
  -9.120  -0.3411   0.11047   0.10600  -0.0237  1.0000  0.0543  -1.2318   0.0000   0.1750
  -9.100  -0.3408   0.11032   0.10585  -0.0239  1.0000  0.0544  -1.2347   0.0000   0.1744
  -9.080  -0.3406   0.11017   0.10571  -0.0241  1.0000  0.0545  -1.2377   0.0000   0.1737
  -9.060  -0.3404   0.11003   0.10557  -0.0244  1.0000  0.0547  -1.2408   0.0000   0.1731
  -9.040  -0.3402   0.10990   0.10544  -0.0246  1.0000  0.0548  -1.2440   0.0000   0.1724
  -9.020  -0.3400   0.10977   0.10531  -0.0248  1.0000  0.0549  -1.2473   0.0000   0.1718
  -9.000  -0.3399   0.10964   0.10520  -0.0250  1.0000  0.0550  -1.2506   0.0000   0.1711
  -8.980  -0.3397   0.10953   0.10508  -0.0252  1.0000  0.0552  -1.2541   0.0000   0.1704
  -8.960  -0.3396   0.10941   0.10497  -0.0255  1.0000  0.0553  -1.2577   0.0000   0.1697
  -8.940  -0.3394   0.10931   0.10487  -0.0257  1.0000  0.0554  -1.2613   0.0000   0.1690
  -8.920  -0.3393   0.10920   0.10477  -0.0259  1.0000  0.0555  -1.2649   0.0000   0.1683
  -8.900  -0.3391   0.10910   0.10467  -0.0262  1.0000  0.0556  -1.2685   0.0000   0.1676
  -8.880  -0.3390   0.10900   0.10458  -0.0264  1.0000  0.0557  -1.2722   0.0000   0.1669
  -8.860  -0.3389   0.10891   0.10449  -0.0267  1.0000  0.0558  -1.2759   0.0000   0.1662
  -8.840  -0.3388   0.10882   0.10441  -0.0269  1.0000  0.0559  -1.2796   0.0000   0.1655
  -8.820  -0.3387   0.10873   0.10432  -0.0271  1.0000  0.0560  -1.2834   0.0000   0.1648
  -8.800  -0.3385   0.10864   0.10424  -0.0274  1.0000  0.0561  -1.2868   0.0000   0.1640
  -8.780  -0.3383   0.10855   0.10415  -0.0276  1.0000  0.0562  -1.2901   0.0000   0.1633
  -8.760  -0.3381   0.10845   0.10406  -0.0279  1.0000  0.0563  -1.2934   0.0000   0.1626
  -8.740  -0.3379   0.10836   0.10397  -0.0281  1.0000  0.0564  -1.2966   0.0000   0.1618
  -8.720  -0.3377   0.10826   0.10388  -0.0283  1.0000  0.0565  -1.2999   0.0000   0.1611
  -8.700  -0.3375   0.10816   0.10378  -0.0286  1.0000  0.0565  -1.3030   0.0000   0.1604
  -8.680  -0.3373   0.10806   0.10369  -0.0288  1.0000  0.0566  -1.3062   0.0000   0.1596
  -8.660  -0.3371   0.10795   0.10359  -0.0290  1.0000  0.0567  -1.3093   0.0000   0.1589
  -8.640  -0.3370   0.10785   0.10348  -0.0293  1.0000  0.0567  -1.3124   0.0000   0.1582
