AirVelocity	NormalForce	AxialForce	q	PitchMoment	PitchAngle
15.29	-2.38	0.28	0.14	 -1.04	-9.96
14.77	-2.27	0.18	0.13	 -1.03	-9.96
14.71	-2.24	0.22	0.13	 -1.00	-9.96
14.71	-2.17	0.20	0.13	 -0.97	-9.96
14.65	-2.20	0.20	0.13	 -1.00	-9.96
15.20	-1.85	0.23	0.14	 -1.00	-8.04
15.15	-1.88	0.24	0.14	 -0.99	-8.05
15.06	-1.85	0.22	0.14	 -0.98	-8.05
15.22	-1.91	0.24	0.14	 -1.01	-8.04
15.14	-1.86	0.25	0.14	 -0.98	-8.04
14.97	-1.10	0.16	0.14	 -0.86	-5.95
14.98	-1.07	0.17	0.14	 -0.86	-5.95
15.11	-1.10	0.20	0.14	 -0.87	-5.95
14.90	-1.05	0.19	0.14	 -0.85	-5.95
14.93	-1.05	0.20	0.14	 -0.85	-5.95
15.08	-0.23	0.14	0.14	 -0.57	-3.97
15.05	-0.22	0.17	0.14	 -0.57	-3.97
15.13	-0.24	0.15	0.14	 -0.58	-3.97
15.12	-0.23	0.15	0.14	 -0.57	-3.97
15.13	-0.23	0.16	0.14	 -0.57	-3.97
15.07	0.32	0.06	0.14	 -0.30	-2.01
14.94	0.32	0.04	0.14	 -0.30	-2.01
15.06	0.32	0.05	0.14	 -0.30	-2.01
15.01	0.33	0.06	0.14	 -0.30	-2.01
15.07	0.33	0.07	0.14	 -0.31	-2.01
15.10	0.89	0.10	0.14	 0.02	0.03
15.21	0.92	0.11	0.14	 0.02	0.03
15.09	0.90	0.09	0.14	 0.02	0.03
15.11	0.91	0.11	0.14	 0.02	0.03
14.90	0.90	0.11	0.14	 0.02	0.03
15.04	1.47	0.08	0.14	 0.30	1.96
15.03	1.50	0.10	0.14	 0.31	1.96
15.19	1.49	0.08	0.14	 0.31	1.96
14.99	1.46	0.08	0.14	 0.30	1.96
15.11	1.48	0.09	0.14	 0.30	1.96
15.04	2.10	0.05	0.14	 0.62	3.95
15.27	2.16	0.06	0.14	 0.64	3.95
15.25	2.13	0.06	0.14	 0.63	3.95
15.24	2.14	0.06	0.14	 0.63	3.95
15.24	2.14	0.06	0.14	 0.63	3.95
15.14	2.95	-0.15	0.14	 1.00	5.94
15.26	2.99	-0.15	0.14	 1.01	5.94
15.34	3.02	-0.13	0.14	 1.02	5.94
15.26	2.99	-0.16	0.14	 1.01	5.94
15.27	2.97	-0.15	0.14	 1.01	5.94
15.29	3.81	-0.19	0.14	 1.40	7.96
15.22	3.77	-0.19	0.14	 1.38	7.96
15.14	3.72	-0.19	0.14	 1.36	7.96
15.21	3.73	-0.22	0.14	 1.37	7.96
15.12	3.70	-0.20	0.14	 1.35	7.96
15.27	4.36	-0.44	0.14	 1.68	10.00
15.13	4.35	-0.43	0.14	 1.67	10.00
14.98	4.37	-0.42	0.14	 1.68	10.00
15.22	4.36	-0.42	0.14	 1.68	10.00
15.06	4.31	-0.41	0.14	 1.66	10.00
